speed,period,warning,pair
33.00,2.00,1.00,1.00
33.00,2.00,1.00,1.00
33.00,2.00,1.00,1.00
33.00,2.00,1.00,1.00
33.00,2.00,1.00,1.00
34.00,2.00,1.00,1.00
34.00,2.00,1.00,1.00
34.00,2.00,1.00,1.00
34.00,2.00,1.00,1.00
35.00,2.00,1.00,1.00
35.00,2.00,1.00,1.00
35.00,2.00,1.00,1.00
35.00,2.00,1.00,1.00
35.00,2.00,1.00,1.00
35.00,2.00,1.00,1.00
35.00,2.00,1.00,1.00
35.00,2.00,1.00,1.00
35.00,2.00,1.00,1.00
35.00,2.00,1.00,1.00
35.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
36.00,2.00,1.00,1.00
37.00,2.00,1.00,1.00
37.00,2.00,1.00,1.00
37.00,2.00,1.00,1.00
37.00,2.00,1.00,1.00
38.00,2.00,1.00,1.00
38.00,2.00,1.00,1.00
38.00,2.00,1.00,1.00
38.00,2.00,1.00,1.00
38.00,2.00,1.00,1.00
38.00,2.00,1.00,1.00
38.00,2.00,1.00,1.00
39.00,2.00,1.00,1.00
39.00,2.00,1.00,1.00
39.00,2.00,1.00,1.00
40.00,2.00,1.00,1.00
40.00,2.00,1.00,1.00
40.00,2.00,1.00,1.00
40.00,2.00,1.00,1.00
40.00,2.00,1.00,1.00
40.00,2.00,1.00,1.00
41.00,2.00,1.00,1.00
41.00,2.00,1.00,1.00
41.00,2.00,1.00,1.00
42.00,2.00,1.00,1.00
42.00,2.00,1.00,1.00
42.00,2.00,1.00,1.00
43.00,2.00,1.00,1.00
43.00,2.00,1.00,1.00
43.00,2.00,1.00,1.00
44.00,2.00,1.00,1.00
44.00,2.00,1.00,1.00
45.00,2.00,1.00,1.00
45.00,2.00,1.00,1.00
45.00,2.00,1.00,1.00
48.00,2.00,1.00,1.00
48.00,2.00,1.00,1.00
48.00,2.00,1.00,1.00
51.00,2.00,1.00,1.00
21.00,1.00,2.00,1.00
25.00,1.00,2.00,1.00
25.00,1.00,2.00,1.00
26.00,1.00,2.00,1.00
26.00,1.00,2.00,1.00
26.00,1.00,2.00,1.00
26.00,1.00,2.00,1.00
26.00,1.00,2.00,1.00
27.00,1.00,2.00,1.00
28.00,1.00,2.00,1.00
28.00,1.00,2.00,1.00
28.00,1.00,2.00,1.00
28.00,1.00,2.00,1.00
28.00,1.00,2.00,1.00
28.00,1.00,2.00,1.00
28.00,1.00,2.00,1.00
29.00,1.00,2.00,1.00
29.00,1.00,2.00,1.00
29.00,1.00,2.00,1.00
29.00,1.00,2.00,1.00
29.00,1.00,2.00,1.00
29.00,1.00,2.00,1.00
30.00,1.00,2.00,1.00
30.00,1.00,2.00,1.00
31.00,1.00,2.00,1.00
31.00,1.00,2.00,1.00
31.00,1.00,2.00,1.00
31.00,1.00,2.00,1.00
31.00,1.00,2.00,1.00
31.00,1.00,2.00,1.00
31.00,1.00,2.00,1.00
31.00,1.00,2.00,1.00
31.00,1.00,2.00,1.00
31.00,1.00,2.00,1.00
32.00,1.00,2.00,1.00
32.00,1.00,2.00,1.00
32.00,1.00,2.00,1.00
33.00,1.00,2.00,1.00
33.00,1.00,2.00,1.00
33.00,1.00,2.00,1.00
33.00,1.00,2.00,1.00
33.00,1.00,2.00,1.00
33.00,1.00,2.00,1.00
33.00,1.00,2.00,1.00
34.00,1.00,2.00,1.00
34.00,1.00,2.00,1.00
34.00,1.00,2.00,1.00
34.00,1.00,2.00,1.00
34.00,1.00,2.00,1.00
34.00,1.00,2.00,1.00
34.00,1.00,2.00,1.00
34.00,1.00,2.00,1.00
34.00,1.00,2.00,1.00
35.00,1.00,2.00,1.00
35.00,1.00,2.00,1.00
35.00,1.00,2.00,1.00
35.00,1.00,2.00,1.00
35.00,1.00,2.00,1.00
35.00,1.00,2.00,1.00
36.00,1.00,2.00,1.00
36.00,1.00,2.00,1.00
36.00,1.00,2.00,1.00
36.00,1.00,2.00,1.00
36.00,1.00,2.00,1.00
36.00,1.00,2.00,1.00
37.00,1.00,2.00,1.00
37.00,1.00,2.00,1.00
37.00,1.00,2.00,1.00
37.00,1.00,2.00,1.00
37.00,1.00,2.00,1.00
37.00,1.00,2.00,1.00
37.00,1.00,2.00,1.00
37.00,1.00,2.00,1.00
37.00,1.00,2.00,1.00
37.00,1.00,2.00,1.00
37.00,1.00,2.00,1.00
38.00,1.00,2.00,1.00
38.00,1.00,2.00,1.00
38.00,1.00,2.00,1.00
38.00,1.00,2.00,1.00
38.00,1.00,2.00,1.00
39.00,1.00,2.00,1.00
39.00,1.00,2.00,1.00
39.00,1.00,2.00,1.00
39.00,1.00,2.00,1.00
40.00,1.00,2.00,1.00
40.00,1.00,2.00,1.00
40.00,1.00,2.00,1.00
40.00,1.00,2.00,1.00
40.00,1.00,2.00,1.00
41.00,1.00,2.00,1.00
41.00,1.00,2.00,1.00
41.00,1.00,2.00,1.00
41.00,1.00,2.00,1.00
41.00,1.00,2.00,1.00
43.00,1.00,2.00,1.00
45.00,1.00,2.00,1.00
45.00,1.00,2.00,1.00
48.00,1.00,2.00,1.00
51.00,1.00,2.00,1.00
28.00,2.00,2.00,1.00
29.00,2.00,2.00,1.00
30.00,2.00,2.00,1.00
30.00,2.00,2.00,1.00
31.00,2.00,2.00,1.00
31.00,2.00,2.00,1.00
31.00,2.00,2.00,1.00
31.00,2.00,2.00,1.00
31.00,2.00,2.00,1.00
31.00,2.00,2.00,1.00
31.00,2.00,2.00,1.00
32.00,2.00,2.00,1.00
32.00,2.00,2.00,1.00
32.00,2.00,2.00,1.00
33.00,2.00,2.00,1.00
33.00,2.00,2.00,1.00
33.00,2.00,2.00,1.00
33.00,2.00,2.00,1.00
33.00,2.00,2.00,1.00
33.00,2.00,2.00,1.00
33.00,2.00,2.00,1.00
33.00,2.00,2.00,1.00
33.00,2.00,2.00,1.00
33.00,2.00,2.00,1.00
35.00,2.00,2.00,1.00
35.00,2.00,2.00,1.00
35.00,2.00,2.00,1.00
35.00,2.00,2.00,1.00
36.00,2.00,2.00,1.00
36.00,2.00,2.00,1.00
36.00,2.00,2.00,1.00
36.00,2.00,2.00,1.00
36.00,2.00,2.00,1.00
36.00,2.00,2.00,1.00
36.00,2.00,2.00,1.00
36.00,2.00,2.00,1.00
37.00,2.00,2.00,1.00
37.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
38.00,2.00,2.00,1.00
39.00,2.00,2.00,1.00
39.00,2.00,2.00,1.00
39.00,2.00,2.00,1.00
39.00,2.00,2.00,1.00
39.00,2.00,2.00,1.00
39.00,2.00,2.00,1.00
40.00,2.00,2.00,1.00
40.00,2.00,2.00,1.00
40.00,2.00,2.00,1.00
40.00,2.00,2.00,1.00
40.00,2.00,2.00,1.00
40.00,2.00,2.00,1.00
40.00,2.00,2.00,1.00
40.00,2.00,2.00,1.00
40.00,2.00,2.00,1.00
40.00,2.00,2.00,1.00
41.00,2.00,2.00,1.00
42.00,2.00,2.00,1.00
42.00,2.00,2.00,1.00
42.00,2.00,2.00,1.00
42.00,2.00,2.00,1.00
42.00,2.00,2.00,1.00
43.00,2.00,2.00,1.00
43.00,2.00,2.00,1.00
43.00,2.00,2.00,1.00
43.00,2.00,2.00,1.00
43.00,2.00,2.00,1.00
44.00,2.00,2.00,1.00
44.00,2.00,2.00,1.00
44.00,2.00,2.00,1.00
45.00,2.00,2.00,1.00
45.00,2.00,2.00,1.00
45.00,2.00,2.00,1.00
45.00,2.00,2.00,1.00
45.00,2.00,2.00,1.00
45.00,2.00,2.00,1.00
45.00,2.00,2.00,1.00
46.00,2.00,2.00,1.00
46.00,2.00,2.00,1.00
46.00,2.00,2.00,1.00
46.00,2.00,2.00,1.00
47.00,2.00,2.00,1.00
48.00,2.00,2.00,1.00
48.00,2.00,2.00,1.00
50.00,2.00,2.00,1.00
53.00,2.00,2.00,1.00
56.00,2.00,2.00,1.00
25.00,1.00,1.00,2.00
28.00,1.00,1.00,2.00
31.00,1.00,1.00,2.00
31.00,1.00,1.00,2.00
32.00,1.00,1.00,2.00
32.00,1.00,1.00,2.00
33.00,1.00,1.00,2.00
33.00,1.00,1.00,2.00
33.00,1.00,1.00,2.00
33.00,1.00,1.00,2.00
33.00,1.00,1.00,2.00
33.00,1.00,1.00,2.00
33.00,1.00,1.00,2.00
34.00,1.00,1.00,2.00
34.00,1.00,1.00,2.00
34.00,1.00,1.00,2.00
34.00,1.00,1.00,2.00
34.00,1.00,1.00,2.00
34.00,1.00,1.00,2.00
34.00,1.00,1.00,2.00
35.00,1.00,1.00,2.00
35.00,1.00,1.00,2.00
35.00,1.00,1.00,2.00
35.00,1.00,1.00,2.00
35.00,1.00,1.00,2.00
35.00,1.00,1.00,2.00
35.00,1.00,1.00,2.00
35.00,1.00,1.00,2.00
35.00,1.00,1.00,2.00
35.00,1.00,1.00,2.00
36.00,1.00,1.00,2.00
36.00,1.00,1.00,2.00
36.00,1.00,1.00,2.00
36.00,1.00,1.00,2.00
36.00,1.00,1.00,2.00
36.00,1.00,1.00,2.00
36.00,1.00,1.00,2.00
36.00,1.00,1.00,2.00
36.00,1.00,1.00,2.00
36.00,1.00,1.00,2.00
37.00,1.00,1.00,2.00
37.00,1.00,1.00,2.00
37.00,1.00,1.00,2.00
37.00,1.00,1.00,2.00
37.00,1.00,1.00,2.00
37.00,1.00,1.00,2.00
38.00,1.00,1.00,2.00
38.00,1.00,1.00,2.00
38.00,1.00,1.00,2.00
38.00,1.00,1.00,2.00
38.00,1.00,1.00,2.00
38.00,1.00,1.00,2.00
39.00,1.00,1.00,2.00
39.00,1.00,1.00,2.00
39.00,1.00,1.00,2.00
39.00,1.00,1.00,2.00
39.00,1.00,1.00,2.00
39.00,1.00,1.00,2.00
39.00,1.00,1.00,2.00
39.00,1.00,1.00,2.00
39.00,1.00,1.00,2.00
39.00,1.00,1.00,2.00
40.00,1.00,1.00,2.00
40.00,1.00,1.00,2.00
40.00,1.00,1.00,2.00
40.00,1.00,1.00,2.00
40.00,1.00,1.00,2.00
40.00,1.00,1.00,2.00
41.00,1.00,1.00,2.00
41.00,1.00,1.00,2.00
41.00,1.00,1.00,2.00
42.00,1.00,1.00,2.00
42.00,1.00,1.00,2.00
42.00,1.00,1.00,2.00
42.00,1.00,1.00,2.00
42.00,1.00,1.00,2.00
43.00,1.00,1.00,2.00
43.00,1.00,1.00,2.00
43.00,1.00,1.00,2.00
43.00,1.00,1.00,2.00
43.00,1.00,1.00,2.00
44.00,1.00,1.00,2.00
44.00,1.00,1.00,2.00
44.00,1.00,1.00,2.00
45.00,1.00,1.00,2.00
45.00,1.00,1.00,2.00
45.00,1.00,1.00,2.00
46.00,1.00,1.00,2.00
46.00,1.00,1.00,2.00
46.00,1.00,1.00,2.00
46.00,1.00,1.00,2.00
47.00,1.00,1.00,2.00
47.00,1.00,1.00,2.00
48.00,1.00,1.00,2.00
50.00,1.00,1.00,2.00
50.00,1.00,1.00,2.00
52.00,1.00,1.00,2.00
53.00,1.00,1.00,2.00
54.00,1.00,1.00,2.00
57.00,1.00,1.00,2.00
27.00,2.00,1.00,2.00
29.00,2.00,1.00,2.00
31.00,2.00,1.00,2.00
32.00,2.00,1.00,2.00
32.00,2.00,1.00,2.00
32.00,2.00,1.00,2.00
32.00,2.00,1.00,2.00
33.00,2.00,1.00,2.00
33.00,2.00,1.00,2.00
33.00,2.00,1.00,2.00
33.00,2.00,1.00,2.00
34.00,2.00,1.00,2.00
34.00,2.00,1.00,2.00
34.00,2.00,1.00,2.00
34.00,2.00,1.00,2.00
34.00,2.00,1.00,2.00
35.00,2.00,1.00,2.00
35.00,2.00,1.00,2.00
35.00,2.00,1.00,2.00
35.00,2.00,1.00,2.00
35.00,2.00,1.00,2.00
35.00,2.00,1.00,2.00
35.00,2.00,1.00,2.00
35.00,2.00,1.00,2.00
35.00,2.00,1.00,2.00
35.00,2.00,1.00,2.00
36.00,2.00,1.00,2.00
36.00,2.00,1.00,2.00
36.00,2.00,1.00,2.00
36.00,2.00,1.00,2.00
36.00,2.00,1.00,2.00
36.00,2.00,1.00,2.00
36.00,2.00,1.00,2.00
36.00,2.00,1.00,2.00
37.00,2.00,1.00,2.00
37.00,2.00,1.00,2.00
37.00,2.00,1.00,2.00
37.00,2.00,1.00,2.00
37.00,2.00,1.00,2.00
37.00,2.00,1.00,2.00
37.00,2.00,1.00,2.00
37.00,2.00,1.00,2.00
38.00,2.00,1.00,2.00
38.00,2.00,1.00,2.00
38.00,2.00,1.00,2.00
38.00,2.00,1.00,2.00
38.00,2.00,1.00,2.00
38.00,2.00,1.00,2.00
38.00,2.00,1.00,2.00
38.00,2.00,1.00,2.00
38.00,2.00,1.00,2.00
39.00,2.00,1.00,2.00
39.00,2.00,1.00,2.00
39.00,2.00,1.00,2.00
39.00,2.00,1.00,2.00
39.00,2.00,1.00,2.00
39.00,2.00,1.00,2.00
39.00,2.00,1.00,2.00
39.00,2.00,1.00,2.00
39.00,2.00,1.00,2.00
39.00,2.00,1.00,2.00
39.00,2.00,1.00,2.00
40.00,2.00,1.00,2.00
40.00,2.00,1.00,2.00
40.00,2.00,1.00,2.00
40.00,2.00,1.00,2.00
40.00,2.00,1.00,2.00
40.00,2.00,1.00,2.00
40.00,2.00,1.00,2.00
40.00,2.00,1.00,2.00
40.00,2.00,1.00,2.00
40.00,2.00,1.00,2.00
41.00,2.00,1.00,2.00
41.00,2.00,1.00,2.00
41.00,2.00,1.00,2.00
41.00,2.00,1.00,2.00
41.00,2.00,1.00,2.00
41.00,2.00,1.00,2.00
41.00,2.00,1.00,2.00
41.00,2.00,1.00,2.00
41.00,2.00,1.00,2.00
41.00,2.00,1.00,2.00
41.00,2.00,1.00,2.00
42.00,2.00,1.00,2.00
42.00,2.00,1.00,2.00
42.00,2.00,1.00,2.00
42.00,2.00,1.00,2.00
42.00,2.00,1.00,2.00
42.00,2.00,1.00,2.00
43.00,2.00,1.00,2.00
43.00,2.00,1.00,2.00
43.00,2.00,1.00,2.00
43.00,2.00,1.00,2.00
43.00,2.00,1.00,2.00
45.00,2.00,1.00,2.00
46.00,2.00,1.00,2.00
46.00,2.00,1.00,2.00
50.00,2.00,1.00,2.00
50.00,2.00,1.00,2.00
51.00,2.00,1.00,2.00
22.00,1.00,2.00,2.00
22.00,1.00,2.00,2.00
23.00,1.00,2.00,2.00
24.00,1.00,2.00,2.00
24.00,1.00,2.00,2.00
25.00,1.00,2.00,2.00
25.00,1.00,2.00,2.00
25.00,1.00,2.00,2.00
25.00,1.00,2.00,2.00
26.00,1.00,2.00,2.00
26.00,1.00,2.00,2.00
26.00,1.00,2.00,2.00
26.00,1.00,2.00,2.00
26.00,1.00,2.00,2.00
27.00,1.00,2.00,2.00
27.00,1.00,2.00,2.00
27.00,1.00,2.00,2.00
27.00,1.00,2.00,2.00
27.00,1.00,2.00,2.00
27.00,1.00,2.00,2.00
27.00,1.00,2.00,2.00
27.00,1.00,2.00,2.00
27.00,1.00,2.00,2.00
27.00,1.00,2.00,2.00
28.00,1.00,2.00,2.00
28.00,1.00,2.00,2.00
28.00,1.00,2.00,2.00
28.00,1.00,2.00,2.00
28.00,1.00,2.00,2.00
28.00,1.00,2.00,2.00
28.00,1.00,2.00,2.00
28.00,1.00,2.00,2.00
28.00,1.00,2.00,2.00
28.00,1.00,2.00,2.00
28.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
29.00,1.00,2.00,2.00
30.00,1.00,2.00,2.00
30.00,1.00,2.00,2.00
30.00,1.00,2.00,2.00
30.00,1.00,2.00,2.00
30.00,1.00,2.00,2.00
30.00,1.00,2.00,2.00
30.00,1.00,2.00,2.00
30.00,1.00,2.00,2.00
30.00,1.00,2.00,2.00
30.00,1.00,2.00,2.00
31.00,1.00,2.00,2.00
31.00,1.00,2.00,2.00
31.00,1.00,2.00,2.00
31.00,1.00,2.00,2.00
31.00,1.00,2.00,2.00
31.00,1.00,2.00,2.00
32.00,1.00,2.00,2.00
32.00,1.00,2.00,2.00
32.00,1.00,2.00,2.00
32.00,1.00,2.00,2.00
32.00,1.00,2.00,2.00
32.00,1.00,2.00,2.00
32.00,1.00,2.00,2.00
32.00,1.00,2.00,2.00
32.00,1.00,2.00,2.00
33.00,1.00,2.00,2.00
33.00,1.00,2.00,2.00
33.00,1.00,2.00,2.00
33.00,1.00,2.00,2.00
33.00,1.00,2.00,2.00
33.00,1.00,2.00,2.00
33.00,1.00,2.00,2.00
34.00,1.00,2.00,2.00
34.00,1.00,2.00,2.00
34.00,1.00,2.00,2.00
34.00,1.00,2.00,2.00
34.00,1.00,2.00,2.00
34.00,1.00,2.00,2.00
34.00,1.00,2.00,2.00
34.00,1.00,2.00,2.00
34.00,1.00,2.00,2.00
35.00,1.00,2.00,2.00
35.00,1.00,2.00,2.00
36.00,1.00,2.00,2.00
36.00,1.00,2.00,2.00
36.00,1.00,2.00,2.00
37.00,1.00,2.00,2.00
38.00,1.00,2.00,2.00
38.00,1.00,2.00,2.00
39.00,1.00,2.00,2.00
42.00,1.00,2.00,2.00
42.00,1.00,2.00,2.00
25.00,2.00,2.00,2.00
26.00,2.00,2.00,2.00
27.00,2.00,2.00,2.00
28.00,2.00,2.00,2.00
28.00,2.00,2.00,2.00
28.00,2.00,2.00,2.00
28.00,2.00,2.00,2.00
28.00,2.00,2.00,2.00
28.00,2.00,2.00,2.00
28.00,2.00,2.00,2.00
29.00,2.00,2.00,2.00
29.00,2.00,2.00,2.00
29.00,2.00,2.00,2.00
29.00,2.00,2.00,2.00
29.00,2.00,2.00,2.00
29.00,2.00,2.00,2.00
29.00,2.00,2.00,2.00
29.00,2.00,2.00,2.00
30.00,2.00,2.00,2.00
30.00,2.00,2.00,2.00
30.00,2.00,2.00,2.00
30.00,2.00,2.00,2.00
30.00,2.00,2.00,2.00
30.00,2.00,2.00,2.00
30.00,2.00,2.00,2.00
31.00,2.00,2.00,2.00
31.00,2.00,2.00,2.00
31.00,2.00,2.00,2.00
31.00,2.00,2.00,2.00
31.00,2.00,2.00,2.00
31.00,2.00,2.00,2.00
31.00,2.00,2.00,2.00
31.00,2.00,2.00,2.00
31.00,2.00,2.00,2.00
32.00,2.00,2.00,2.00
32.00,2.00,2.00,2.00
32.00,2.00,2.00,2.00
32.00,2.00,2.00,2.00
32.00,2.00,2.00,2.00
32.00,2.00,2.00,2.00
33.00,2.00,2.00,2.00
33.00,2.00,2.00,2.00
34.00,2.00,2.00,2.00
34.00,2.00,2.00,2.00
34.00,2.00,2.00,2.00
34.00,2.00,2.00,2.00
34.00,2.00,2.00,2.00
34.00,2.00,2.00,2.00
34.00,2.00,2.00,2.00
34.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
35.00,2.00,2.00,2.00
36.00,2.00,2.00,2.00
36.00,2.00,2.00,2.00
36.00,2.00,2.00,2.00
36.00,2.00,2.00,2.00
36.00,2.00,2.00,2.00
36.00,2.00,2.00,2.00
36.00,2.00,2.00,2.00
37.00,2.00,2.00,2.00
37.00,2.00,2.00,2.00
37.00,2.00,2.00,2.00
38.00,2.00,2.00,2.00
38.00,2.00,2.00,2.00
38.00,2.00,2.00,2.00
39.00,2.00,2.00,2.00
40.00,2.00,2.00,2.00
40.00,2.00,2.00,2.00
40.00,2.00,2.00,2.00
40.00,2.00,2.00,2.00
40.00,2.00,2.00,2.00
40.00,2.00,2.00,2.00
41.00,2.00,2.00,2.00
41.00,2.00,2.00,2.00
41.00,2.00,2.00,2.00
42.00,2.00,2.00,2.00
44.00,2.00,2.00,2.00
44.00,2.00,2.00,2.00
44.00,2.00,2.00,2.00
44.00,2.00,2.00,2.00
45.00,2.00,2.00,2.00
46.00,2.00,2.00,2.00
47.00,2.00,2.00,2.00
47.00,2.00,2.00,2.00
50.00,2.00,2.00,2.00
50.00,2.00,2.00,2.00
51.00,2.00,2.00,2.00
52.00,2.00,2.00,2.00
22.00,1.00,1.00,3.00
24.00,1.00,1.00,3.00
24.00,1.00,1.00,3.00
25.00,1.00,1.00,3.00
25.00,1.00,1.00,3.00
25.00,1.00,1.00,3.00
26.00,1.00,1.00,3.00
26.00,1.00,1.00,3.00
27.00,1.00,1.00,3.00
27.00,1.00,1.00,3.00
27.00,1.00,1.00,3.00
28.00,1.00,1.00,3.00
28.00,1.00,1.00,3.00
28.00,1.00,1.00,3.00
28.00,1.00,1.00,3.00
28.00,1.00,1.00,3.00
28.00,1.00,1.00,3.00
28.00,1.00,1.00,3.00
28.00,1.00,1.00,3.00
28.00,1.00,1.00,3.00
28.00,1.00,1.00,3.00
28.00,1.00,1.00,3.00
29.00,1.00,1.00,3.00
29.00,1.00,1.00,3.00
29.00,1.00,1.00,3.00
29.00,1.00,1.00,3.00
29.00,1.00,1.00,3.00
29.00,1.00,1.00,3.00
29.00,1.00,1.00,3.00
30.00,1.00,1.00,3.00
30.00,1.00,1.00,3.00
30.00,1.00,1.00,3.00
30.00,1.00,1.00,3.00
30.00,1.00,1.00,3.00
30.00,1.00,1.00,3.00
30.00,1.00,1.00,3.00
30.00,1.00,1.00,3.00
30.00,1.00,1.00,3.00
30.00,1.00,1.00,3.00
31.00,1.00,1.00,3.00
31.00,1.00,1.00,3.00
31.00,1.00,1.00,3.00
31.00,1.00,1.00,3.00
31.00,1.00,1.00,3.00
31.00,1.00,1.00,3.00
31.00,1.00,1.00,3.00
31.00,1.00,1.00,3.00
31.00,1.00,1.00,3.00
31.00,1.00,1.00,3.00
32.00,1.00,1.00,3.00
32.00,1.00,1.00,3.00
32.00,1.00,1.00,3.00
32.00,1.00,1.00,3.00
32.00,1.00,1.00,3.00
32.00,1.00,1.00,3.00
32.00,1.00,1.00,3.00
32.00,1.00,1.00,3.00
32.00,1.00,1.00,3.00
32.00,1.00,1.00,3.00
33.00,1.00,1.00,3.00
33.00,1.00,1.00,3.00
33.00,1.00,1.00,3.00
33.00,1.00,1.00,3.00
33.00,1.00,1.00,3.00
34.00,1.00,1.00,3.00
34.00,1.00,1.00,3.00
34.00,1.00,1.00,3.00
34.00,1.00,1.00,3.00
34.00,1.00,1.00,3.00
34.00,1.00,1.00,3.00
34.00,1.00,1.00,3.00
35.00,1.00,1.00,3.00
35.00,1.00,1.00,3.00
